1.60057:0.826099 1.40499:1.36869 2.44318:0.90766 1.39196:0.782623 
0.822925:2.68654 1.58286:0.807294 1.82173:2.21804 2.99302:0.76211 
1.40595:3.75534 0.782494:3.98947 0.703341:5.77207 0.344649:5.03128 
2.02035:2.54845 0.937121:1.96167 0.608316:2.27855 2.25105:0.636648 
1.41355:2.26418 1.2431:2.20415 1.59964:0.482105 1.11994:2.76954 
2.01679:0.323779 1.70322:0.677583 2.89414:0.302407 2.06159:1.01235 
1.01693:0.624426 0.472442:0.180757 2.90393:3.00812 0.446072:0.498788 
2.43083:2.53162 1.69572:0.964912 2.13112:1.33098 2.46998:2.81537 
1.31326:1.06313 0.859156:2.2753 2.12458:1.45901 1.10111:1.56689 
0.6478:1.99327 2.24887:1.00363 1.11022:1.91837 1.87727:1.09403 
0.638259:2.52902 1.00004:1.62191 2.06775:1.93943 1.54003:2.01313 
1.82904:2.74391 0.458779:1.149 2.39935:1.32921 1.78818:2.72415 
2.47877:2.50679 1.14358:1.21273 2.00893:1.5508 2.42846:2.46282 
0.594314:0.882797 0.786965:0.6206 2.61197:2.26496 0.568594:3.0202 
2.60388:2.09172 2.68034:2.25952 1.94496:0.700186 2.37705:1.60356 
2.55871:1.54747 0.297087:0.972333 2.42486:1.55488 2.50809:2.08862 
2.50809:2.08862 2.07162:1.44091 1.25911:1.6279 1.03842:1.27522 
2.49923:3.1414 1.96302:2.53871 1.45087:0.570987 1.76442:2.92978 
1.16491:0.262627 0.418858:1.81365 1.98479:2.15789 1.49801:2.33666 
1.98479:2.15789 0.600731:0.311303 2.54374:1.16904 1.78749:2.21007 
0.532103:0.518028 0.966947:2.29028 2.60841:1.37943 0.45657:1.75375 
1.00331:1.91692 0.87881:0.968815 2.55458:2.15064 2.59075:0.594983 
1.90367:2.14263 0.531318:1.66703 0.638377:2.09725 0.442576:3.0555 
1.95779:2.8706 1.95511:1.38548 0.918636:1.39024 1.98206:2.91552 
1.96241:2.25531 2.58239:1.07349 0.459126:1.49383 2.05386:2.19248 
2.51353:1.69793 0.578282:1.93722 0.788723:2.53137 2.20172:1.30465 
1.09228:1.17207 1.12713:0.890008 2.00047:1.87635 1.47625:2.16563 
1.80828:1.27551 1.94424:1.84219 2.14004:0.372983 2.2667:1.64548 
2.18362:1.59413 1.29966:1.41654 2.31992:1.54442 2.13508:1.89491 
2.13508:1.89491 2.66894:1.35688 0.280747:1.73969 0.574514:1.11393 
1.59751:2.18659 1.02939:2.6218 2.1402:0.18351 1.36308:2.90151 
1.86048:3.17483 2.09442:5.63376 2.06495:4.09667 1.85775:3.35481 
1.70467:5.74425 0.727671:5.11747 1.95283:3.99371 1.33153:5.43722 
0.688955:5.56078 2.51204:5.17102 0.908:4.25176 2.02037:4.44421 
0.26125:4.43373 1.19686:5.46949 1.8687:4.55797 1.36:4.80876 
2.59742:0.663357 0.562472:0.776188 2.52599:2.34224 2.29842:4.88587 
2.22142:4.097 2.15653:3.18188 2.29255:4.91247 2.15635:3.60269 
2.22532:3.56909 0.868183:6.22476 2.1567:2.5525 2.04146:3.36366 
2.04146:3.36366 1.93358:4.03917 1.38424:5.26751 1.37841:5.68585 
1.8979:3.55362 1.58153:4.15518 1.89302:5.17472 1.2158:3.87971 
1.27801:6.26137 1.05352:3.84993 1.06934:5.2717 1.28236:6.12475 
1.44285:3.73768 2.42017:4.36581 1.1822:5.37515 1.81604:4.04393 
2.45988:3.9229 0.632742:4.30966 2.22905:5.11726 1.11315:4.83186 
2.88479:4.9415 1.94143:4.01219 1.2671:4.92254 1.77658:4.67194 
0.549284:3.86868 2.57275:3.87688 0.621523:5.52521 0.851871:4.58853 
0.927596:5.37331 0.986583:6.19927 0.840946:4.46317 0.982788:5.77639 
0.913998:5.81249 2.27191:3.15631 0.98088:5.65074 1.09924:6.01544 
1.09924:6.01544 1.2035:5.33988 1.76281:4.20469 1.76795:3.7858 
1.24825:5.91787 1.56752:5.3174 1.24069:4.20035 1.93262:5.59507 
2.00687:5.42555 0.604364:5.08151 1.16423:4.86117 2.0022:6.07285 
0.604364:5.08151 2.5701:3.4848 1.47983:4.8777 1.55677:4.6176 
2.28798:3.25968 1.49946:4.53231 1.67276:5.75888 1.71693:5.22972 
1.99315:5.4152 0.610553:5.07434 1.15303:4.84735 1.99097:6.05883 
