1.40744:2.95203 1.64325:1.7609 1.30701:0.49869 
1.4181:1.24122 2.23024:1.23458 1.06342:1.34349 
1.19805:0.233017 1.04892:2.46633 1.61813:0.580467 
1.04892:2.46633 1.07068:2.53404 2.83776:0.157483 
1.61813:0.580467 1.9603:0.946414 0.713405:1.8463 
2.54917:5.36173 1.54603:3.85318 1.88518:5.20654 
1.33213:2.73756 1.37691:3.12924 2.82309:0.263957 
1.37691:3.12924 1.8823:3.07213 2.96743:1.4657 
1.30503:0.251946 1.38803:0.0309908 0.811822:1.03456 
1.29675:0.0343437 2.34345:0.0275461 0.979097:3.01226 
2.99795:0.256404 2.68563:2.81552 0.197482:0.151804 
2.71212:3.16608 2.68907:3.49681 2.39503:3.85187 
2.51912:2.38842 0.456247:2.03073 2.4092:2.52393 
0.456247:2.03073 0.64679:2.00854 0.181531:1.06384 
2.07491:2.51548 1.08369:2.508 1.65426:0.708496 
1.35988:0.817003 1.4244:0.96645 1.31302:2.26017 
2.85032:2.83134 2.17313:2.96192 2.64685:2.11219 
1.36989:1.00859 2.13132:0.686824 1.66317:0.513963 
2.86033:0.32945 2.02618:0.772359 0.811112:2.9435 
0.201652:2.5142 0.386258:3.12325 2.39285:0.136297 
0.448686:2.93904 0.030878:0.63518 1.00445:5.56947 
1.70147:6.06981 1.41173:4.89468 1.87448:3.64196 
1.58288:4.43209 0.999015:4.38534 2.06309:4.55374 
2.02218:3.56969 2.07259:5.64923 1.53102:3.7138 
1.53102:3.7138 1.19289:4.16834 2.32812:4.86859 
1.86257:2.7414 1.81391:3.1214 0.306275:0.0720359 
1.81391:3.1214 1.29514:3.03491 0.0884805:1.84675 
1.81912:0.241685 1.66029:0.106809 2.36856:0.962322 
1.81709:0.0192317 0.790826:0.0666081 2.17499:2.96849 
0.235727:0.167044 0.526091:2.69386 2.88811:0.442333 
1.54532:0.835485 1.36412:1.45121 1.54916:1.07939 
1.4419:2.32934 2.26293:2.25151 1.31675:1.07564 
2.35765:2.71599 2.26603:2.26417 2.69619:2.73985 
1.85113:0.844526 1.58969:5.34956 1.78525:1.95356 
1.32107:4.65425 1.8428:5.59811 2.73393:6.17771 
2.28028:4.94389 2.90793:4.04986 0.485423:3.90772 
0.643761:3.81687 1.19804:4.84124 1.60345:4.05279 
1.41193:4.92614 1.41805:4.89154 1.84092:5.38833 
1.60345:4.05279 2.41339:4.51704 0.854107:4.61333 
2.44286:5.16446 1.74079:1.9297 1.46154:4.90026 
2.34026:5.31527 1.21858:2.61294 2.01361:1.48445 
2.01361:1.48445 1.33601:2.33417 2.28703:1.81264 
2.14706:2.40777 2.32602:3.68677 2.51943:5.1571 
1.29407:2.35755 1.01326:2.87989 2.0318:0.415145 
1.75382:3.48546 1.94018:3.17265 1.35312:3.87962 
2.79466:1.1457 1.94508:1.52345 2.90838:0.793532 
1.03263:2.8868 1.18538:3.09643 3.02649:1.93735 
0.353885:4.06836 1.64418:4.57414 1.54813:5.24156 
1.46782:3.24195 1.25145:3.56219 0.32044:5.79035 
2.64984:4.16483 1.23651:5.1251 1.91432:4.06807 
2.8174:2.04287 2.71299:2.26869 0.509848:0.728563 
1.77535:1.41787 1.0154:2.87101 1.76508:1.87979 
1.26472:2.94033 1.04246:2.76276 1.45619:2.90469 
0.927156:4.27587 1.66753:4.0027 1.24972:5.38698 
2.15895:1.03304 2.09692:1.08586 1.38704:0.383993 
1.77151:2.36107 1.86449:1.67682 1.72001:2.09881 
1.58806:0.832432 0.783715:1.14203 1.87473:1.97142 
1.4109:2.31769 1.63905:4.12749 1.30189:1.26395 
1.71162:4.76581 1.40595:3.75534 0.547423:3.27031 
0.851228:4.31852 2.49323:4.11722 0.878304:4.15317 
0.878304:4.15317 0.173684:4.68667 2.55939:5.57725 
2.38942:5.65264 1.9197:4.59602 1.37539:5.29387 
1.78461:4.4627 1.7718:4.53294 1.48348:4.0099 
1.37539:5.29387 0.806821:4.8239 2.25328:5.00397 
0.71997:0.766676 0.56452:5.74415 0.681269:3.94537 
1.76915:0.765142 1.94223:0.214752 1.2722:2.75606 
1.15835:5.99613 0.947311:6.23312 1.4877:5.52835 
1.39018:0.557844 1.64455:0.565885 1.83878:0.548431 
0.608316:2.27855 1.08836:1.70208 0.492299:2.54044 
2.26264:0.048642 1.67644:0.0414342 0.197928:2.99361 
1.43617:6.17222 1.8259:5.70974 2.91038:4.11728 
0.270041:4.82375 2.10945:4.33128 0.989469:5.36565 
0.421613:1.78341 0.365312:1.73257 2.6577:1.86731 
0.750615:0.152361 1.47826:0.429442 0.915905:0.578102 
2.16444:0.99005 1.57918:1.67197 1.4658:1.99089 
0.936251:2.35928 1.06215:2.19501 1.6984:1.07899 
1.60493:2.29311 0.638259:2.52902 0.952044:2.3256 
1.16726:1.45736 1.83439:2.50687 2.1512:1.17116 
1.9784:2.80196 1.14252:1.34749 2.20604:2.29936 
2.44895:1.37028 1.38892:0.494969 2.22406:2.55446 
1.38892:0.494969 1.28618:0.500401 0.987864:2.25691 
2.22406:2.55446 1.8521:2.93954 1.84845:0.186086 
1.86396:1.52738 2.11935:1.92653 2.18971:1.00101 
2.11935:1.92653 2.56036:1.55568 2.38717:1.00791 
0.578623:1.06525 0.72814:1.18517 0.384181:0.968252 
2.46357:0.137448 2.22488:0.834577 2.84744:1.74027 
2.22488:0.834577 2.67003:0.285532 0.558607:2.59975 
2.28968:0.826236 1.85978:2.71403 1.00737:0.25623 
1.25148:2.12322 1.31503:2.26841 1.59571:1.15293 
2.75298:0.623549 2.89836:1.66063 2.68761:1.4527 
1.90265:0.515226 2.17085:2.78278 1.20938:0.15362 
1.66913:0.824243 1.10827:0.149608 1.11618:0.762179 
0.824873:0.943603 0.11963:2.70261 2.68401:2.84647 
2.14633:2.33972 2.3558:2.39167 0.512824:0.313203 
2.4176:3.09497 1.90367:2.14263 0.899993:2.38396 
0.354923:1.15847 0.998977:2.69715 2.50014:1.00809 
1.21267:2.38639 2.5804:1.07093 0.912589:2.0054 
2.30469:1.39442 1.06587:0.224174 2.07152:2.37366 
1.06587:0.224174 1.06866:0.337039 2.2554:2.31352 
2.07152:2.37366 1.7767:2.84805 1.40562:0.272176 
2.85212:1.44736 2.53231:2.10245 0.829376:0.906932 
2.53231:2.10245 2.1782:1.53863 0.976251:1.10775 
1.03386:1.28766 0.826615:1.43665 1.87013:1.38568 
1.5165:0.883296 0.969834:0.841697 1.30095:1.5179 
0.969834:0.841697 1.49082:1.0896 1.83263:2.08535 
0.788723:2.53137 2.33824:2.91285 1.00703:2.36127 
2.18614:0.876014 1.9734:2.79875 1.33106:0.590625 
1.23626:2.87436 0.901633:0.560694 1.83846:2.73325 
0.602052:2.62708 0.757099:2.76829 2.73902:0.0258928 
1.3989:1.22278 1.89817:1.71912 1.16713:1.49103 
1.10763:0.476431 1.85396:2.48316 1.39783:0.343568 
2.45774:5.26673 1.61816:5.08176 1.14134:3.95774 
0.517652:3.9919 0.73795:2.27666 2.05431:5.53607 
0.613449:3.7345 0.26125:4.43373 0.771812:4.89141 
2.22002:3.8673 1.95811:6.23376 1.67483:3.15331 
1.95811:6.23376 1.87344:6.22868 0.652229:4.02497 
1.67483:3.15331 1.21106:3.54072 2.44797:5.86927 
1.74577:2.58252 2.26845:2.67644 2.62454:1.31771 
1.02828:0.19306 1.13008:0.40427 0.838313:0.78566 
3.07138:0.843379 2.60675:0.914723 2.61508:2.30137 
2.60675:0.914723 2.9966:3.79407 0.204829:4.69879 
2.52599:2.34224 0.983058:1.68614 2.42097:2.26984 
0.983058:1.68614 0.998568:1.68051 0.303947:2.2544 
2.44365:1.9669 1.32556:3.13878 1.62788:0.229502 
0.795095:4.19978 1.5694:0.0429047 1.38543:2.92432 
1.10288:4.91117 0.985299:4.70578 1.71426:4.58275 
2.81847:3.88564 2.44845:3.16333 2.50201:4.22815 
2.50316:5.99542 1.54324:3.28036 1.85415:5.99173 
0.687739:4.21238 1.52801:4.40155 1.99477:5.41005 
2.61972:5.37563 2.39832:5.36162 1.08966:3.94223 
2.53093:5.64121 2.88479:4.9415 2.36559:4.58977 
0.92448:5.49888 1.18494:3.24444 1.46565:6.2394 
1.18494:3.24444 1.26825:3.24801 2.49532:5.34947 
1.46565:6.2394 1.91644:5.96519 0.696693:3.50637 
1.3917:5.67782 0.870452:5.77616 0.5245:4.51108 
2.11427:3.37852 2.01415:3.59172 2.29681:3.88355 
0.0633713:3.8692 0.54057:4.11451 0.527714:5.48526 
0.54057:4.11451 0.151882:5.62102 2.92759:4.66879 
0.621523:5.52521 2.14911:4.77732 0.727759:5.45393 
2.14911:4.77732 2.13161:4.77228 2.83241:5.32989 
0.690404:5.06495 1.7943:6.20992 1.51092:3.3224 
2.35137:5.28047 1.57181:3.23239 1.75792:6.11567 
2.04637:4.56092 2.16408:4.76795 1.41837:4.79316 
0.32967:5.57325 0.694049:6.2231 0.648254:5.24083 
0.64361:3.48081 1.59642:6.18772 1.28716:3.38706 
1.13035:3.17149 0.437451:4.54458 0.860249:4.18105 
2.36716:4.88942 2.28798:3.25968 2.05617:4.34612 
1.53735:4.89208 0.443465:4.14329 2.22829:5.49158 
0.443465:4.14329 0.561894:4.28543 2.42811:3.66204 
2.22829:5.49158 2.74795:5.98271 0.0994105:3.6603 
1.6036:2.35808 1.08406:4.90468 2.15133:4.91123 
2.19576:3.84797 0.675057:3.67243 1.04223:5.5977 
1.61161:4.51397 1.9271:5.42908 1.22435:4.40485 
0.501849:5.03035 2.32576:5.81514 0.230304:5.12605 
1.13936:3.15625 0.449133:4.53972 0.873772:4.18916 
2.3713:4.87307 2.28006:3.27062 2.05081:4.3519 
1.5414:4.88338 0.436933:4.16323 2.23583:5.47961 
0.436933:4.16323 0.556134:4.30397 2.42275:3.64515 
2.23583:5.47961 2.75454:5.97934 0.0945531:3.71739 
1.60546:2.35322 1.08811:4.90956 2.14828:4.90503 
2.19735:3.84106 0.67785:3.65184 1.04095:5.6059 
1.61544:4.5214 1.93033:5.43464 1.22839:4.40911 
0.481797:5.02462 2.32476:5.83214 0.210076:5.11896 
1.14814:3.16469 0.456617:4.51172 0.883615:4.17398 
0.834266:2.24652 0.16585:1.47439 2.73864:0.323218 
2.13929:0.754109 2.34243:0.778003 0.523605:2.85626 
2.41799:0.0478697 1.92415:1.03584 0.95346:0.73869 
1.06723:2.9204 1.01157:2.82418 2.26835:0.851017 
2.00709:5.40073 0.518512:1.31292 2.12126:5.43299 
2.79858:3.97074 2.5287:5.21334 0.824915:4.05384 
2.5287:5.21334 2.1532:4.68637 0.965663:4.26821 
0.916871:4.0661 1.46475:4.2448 1.95777:5.31915 
2.19502:4.03787 2.13786:0.398693 1.27224:3.73392 
1.21393:5.94166 0.877843:3.73672 1.82214:5.85881 
0.599908:5.74986 0.752096:5.92146 2.76028:3.21562 
1.54446:4.39352 1.87039:4.78439 1.16472:4.61628 
1.07611:3.53937 1.84664:5.63249 1.4461:3.50508 
1.78627:5.31107 2.13537:3.90715 1.03457:4.81104 
0.998828:5.3692 1.53895:4.51133 1.68235:4.33411 
2.23269:3.91992 1.88443:3.84388 1.44692:5.20703 
1.45884:4.00351 2.50557:3.70545 2.21334:3.99367 
2.12049:4.66651 1.93442:6.0319 1.96836:4.80559 
0.88311:5.14459 1.76117:5.79148 0.773132:3.69736 
1.76117:5.79148 1.83854:5.72596 2.0167:4.19017 
2.56252:5.20903 2.43744:4.91765 2.61387:5.25389 
0.684729:6.16224 0.909679:5.56517 0.323776:5.11603 
